opening_range_minutes,impulse_lookback_bars,min_opening_move_pct,min_opening_range_pct,min_relative_volume,fib_lower,fib_upper,vwap_tolerance_pct,max_extension_from_vwap_pct,stop_buffer_pct,risk_per_trade_pct,daily_loss_limit_pct,target_r_multiple,partial_exit_r_multiple,trailing_exit_on_vwap_loss,min_vwap_slope_pct,min_opening_range_close_location,min_regime_strength_pct,max_positions,allow_short,slippage_bps,commission_per_order,folds,avg_train_profit_factor,avg_validation_profit_factor,median_validation_profit_factor,avg_validation_net_profit,total_validation_net_profit,avg_validation_win_rate
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.47643820699130063,3.347664745506895,1.932268219780571,0.8953289935381766,5.37197396122906,0.3194444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.49509475202427994,3.113024908568178,1.5998823423077553,0.46776707975345744,2.8066024785207446,0.3194444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.5783881703686091,2.87822169786167,1.2677779890636436,0.04048916015763856,0.24293496094583134,0.3194444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8670279025295141,1.147120291132923,1.1823100403289821,0.2113692340892991,1.2682154045357947,0.5277777777777778
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.831724886804487,1.077080809370064,1.182310040328982,-0.08947771254819752,-0.5368662752891851,0.5277777777777778
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8077357758981011,1.1060271687834382,1.090427744971972,0.37308570318053097,2.2385142190831857,0.5277777777777778
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7459043326437546,1.0977554985125055,1.0132204658252306,0.21450420386488153,1.2870252231892891,0.5277777777777778
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7712079172608939,1.072026718437815,0.9617948320404405,0.915044123293986,5.490264739763916,0.5555555555555555
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8681354334199775,1.3691439479978986,0.8129567915075615,1.0962304726801715,6.5773828360810285,0.4861111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7117771216729326,1.0621007141126957,0.8073802737469581,0.7564626239783365,4.538775743870019,0.5555555555555555
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6979089230830441,1.2164313587592535,0.7766050415511382,1.363254240643414,8.179525443860484,0.4861111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6350879889988083,0.842793391663012,0.7459033770415163,-0.8908525908557484,-5.34511554513449,0.47222222222222215
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7431599920713547,1.2108297780075277,0.7134989189473091,0.78255123253471,4.6953073952082605,0.4861111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6416693254499025,1.0270780724171,0.6945289272559875,-0.15192298438235716,-0.9115379062941429,0.47222222222222215
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8486045193098454,0.9865055140800856,0.6530667424074684,0.7543333849370887,4.526000309622532,0.5555555555555555
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.5505288847641648,0.8459429578933471,0.652517247627627,0.3762400829915009,2.2574404979490055,0.5277777777777778
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6839812746069213,0.9151822179712271,0.62366406238223,-0.5843854450181615,-3.5063126701089686,0.47222222222222215
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.003,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8836394332097061,1.163143550728055,0.6076153188743014,2.4778571760166037,14.867143056099621,0.5694444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6419484918121404,0.9932017913573062,0.6014332972991305,-0.31116572439054835,-1.86699434634329,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8750691665868136,1.1829757866827344,0.597321514285632,2.308424353007183,13.850546118043098,0.5694444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6308496415719328,2.7477124013813374,0.5932543251298734,0.10970418819094145,0.6582251291456487,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.42493828875305956,2.6882946396381686,0.5932543251298734,-0.11545289324211201,-0.6927173594526721,0.3611111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.4267782683586537,0.9313275736370306,0.5787066014216551,0.5373178686404572,3.223907211842743,0.5277777777777778
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.38616677224371027,0.9214015693119112,0.5787066014216551,0.37873636932480775,2.2724182159488464,0.5277777777777778
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8390328629896583,0.9024495966287187,0.5787066014216551,0.4535094663091286,2.7210567978547715,0.5555555555555555
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.002,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.531678465963361,0.7618505081254002,0.5759478618454785,0.07551440557085698,0.4530864334251419,0.5277777777777778
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6263465381804166,0.7661369327758055,0.5749660489119305,-1.1241690951742953,-6.745014571045772,0.47222222222222215
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6382254549592813,0.8030849995210918,0.5528367668547773,-1.0165926265583873,-6.099555759350324,0.47222222222222215
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6387486596696207,0.8825562593271394,0.5388570346564089,-0.6605098473040508,-3.963059083824305,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6639006425970633,2.6370668693511705,0.5306780624871519,-0.23963993472256107,-1.4378396083353664,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.4642537019540835,2.5776491076080017,0.5306780624871519,-0.46479701615561453,-2.788782096933687,0.3611111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7057448710902842,0.7155967254650524,0.5106644089234863,-0.5784164150273341,-3.4704984901640046,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8361543710031749,1.0716526596821356,0.5052893415722908,1.5986749817550578,9.592049890530348,0.5694444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6160429308523659,0.7717327110796219,0.4763061631516565,-1.0096958617848675,-6.058175170709205,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6234920024005234,1.0263941593585018,0.46942232448204885,0.38457660561291124,2.3074596336774675,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.3963889954534759,0.9422607039202842,0.46942232448204885,0.04928467539857214,0.29570805239143283,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7064391254738115,0.8921191340234544,0.46942232448204885,-0.04788585502289303,-0.2873151301373582,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.4969529889444222,0.8079856785852367,0.46942232448204885,-0.38317778523723217,-2.299066711423393,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6702368804447518,0.7576024718832921,0.46942232448204885,-0.48009303656311886,-2.880558219378713,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.4585675777594194,0.6734690164450743,0.46942232448204885,-0.815384966777458,-4.892309800664748,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.0015,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.4645416507895679,0.6134638436803551,0.46942232448204885,-0.9856164618033366,-5.9136987708200195,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7013521826807662,2.526243321103653,0.4681271909823995,-0.5888259492033777,-3.5329556952202665,0.4166666666666667
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.4818408437719785,2.466825559360484,0.4681271909823995,-0.8139830306364312,-4.883898183818587,0.3611111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.003,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8246396189889796,1.1898619089324802,0.4501174272908715,2.5821186710086295,15.492712026051777,0.5694444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.003,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7938433164100656,1.0737160433600672,0.4501174272908715,2.0341572737402203,12.204943642441322,0.5694444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.003,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8193839455665214,0.9576749118229687,0.4501174272908715,1.778329226410013,10.669975358460078,0.5694444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8982369309282922,1.1155516040079014,0.4328037084575945,1.7998109238109994,10.798865542865997,0.5694444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.005,0.01,0.003,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.8334864147945563,0.9604133199097877,0.4328037084575945,1.181058960441116,7.086353762646695,0.5694444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0035,0.01,0.001,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6937063917191014,0.6502078243954795,0.40906318112632467,-0.5414653214102335,-3.248791928461401,0.5
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.001,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.4952253865257726,0.5789065103036768,0.40906318112632467,-0.766622402843287,-4.599734417059722,0.4444444444444444
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.002,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.5076178850949921,1.6275784915960003,0.3704262246537683,1.9688276315289197,11.812965789173518,0.4861111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.002,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.4560403016813419,1.514337961985726,0.3704262246537683,1.6890670128139884,10.13440207688393,0.4861111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.002,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6193130903930897,1.2453749812803063,0.3704262246537683,1.4038569650501624,8.423141790300974,0.4861111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.003,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7300153746335885,1.0347914520618462,0.35091112154188375,2.115689612428658,12.694137674571948,0.5416666666666666
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.0015,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.5084755650973617,1.7750187224206324,0.3468105084177368,1.8509840595388785,11.105904357233271,0.4861111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.0015,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.7045278024135104,1.5013309782609388,0.3468105084177368,1.3187853058982266,7.912711835389359,0.4861111111111111
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.003,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6039831308793445,1.061338472345038,0.19307055411598723,2.220433922377481,13.322603534264886,0.5416666666666666
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.003,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.5939724540595762,0.9451926067726251,0.19307055411598723,1.6724725251090717,10.03483515065443,0.5416666666666666
15,20,0.005,0.008,1.5,0.5,0.618,0.0025,0.01,0.003,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.6401823941907326,0.8291514752355266,0.19307055411598723,1.4166444777788645,8.499866866673187,0.5416666666666666
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.003,0.01,0.02,2.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.5342432965275148,1.5349221924523804,0.0,1.745523852927742,10.473143117566451,0.40277777777777773
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.003,0.01,0.02,2.0,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.4808082161297915,1.3152573382764026,0.0,1.0369554881396539,6.221732928837923,0.40277777777777773
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.003,0.01,0.02,1.5,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.5336574707257259,1.1881847734381819,0.0,0.619489773971471,3.7169386438288257,0.40277777777777773
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.003,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.5648338281314856,1.0565401682140165,0.0,0.19703735957078075,1.1822241574246846,0.40277777777777773
15,20,0.005,0.008,1.5,0.5,0.618,0.0015,0.01,0.001,0.01,0.02,1.25,1.0,True,0.002,0.65,0.0075,2,False,5.0,0.0,6,0.5369036976385008,0.9982005750568399,0.0,0.04885101868779884,0.29310611212679305,0.40277777777777773
